ID,Company Id,Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares
G5330,G006,SWKH,SWK HLDGS CORP,CMN,78501P203,196,0,11138
G5649,G006,KIRK,KIRKLANDS INC,CMN,497498105,36,0,11159
G5713,G006,OESX,ORION ENERGY SYS INC,CMN,686275108,20,0,11175
G4937,G006,LRGE,LEGG MASON ETF INVT TR,CMN,524682200,457,0,11196
G5595,G006,NA-248,SIGNA SPORTS UNITED NV,CMN,N80029106,55,0,11212
G5522,G006,MNK,MALLINCKRODT PLC,CMN,G5890A102,86,0,11216
G4610,G006,FAB,FIRST TR MULTI CP VAL ALPHA,CMN,33733C108,774,0,11258
G4417,G006,AGM-A,FEDERAL AGRIC MTG CORP,CMN,313148108,1035,0,11317
G5657,G006,YI,111 INC,CMN,68247Q102,34,0,11326
G5146,G006,VTOL,BRISTOW GROUP INC,CMN,11040G103,307,0,11333
G5651,G006,GGR,GOGORO INC,CMN,G9491K105,36,0,11351
G5732,G006,GRTX,GALERA THERAPEUTICS INC,CMN,36338D108,16,0,11363
G5457,G006,KCGI,KENSINGTON CAPITAL ACQUISITI,CMN,G5251K103,115,0,11375
G5297,G006,QAT,ISHARES TR,CMN,46434V779,208,0,11380
G5032,G006,XJR,ISHARES TR,CMN,46436E544,378,0,11380
G5367,G006,EMTY,PROSHARES TR,CMN,74347B367,169,0,11420
G5632,G006,SRT,STARTEK INC,CMN,85569C107,42,0,11421
G5586,G006,ATCX,ATLAS TECHNICAL CONSULTANTS,CMN,49430101,59,0,11472
G5194,G006,XDSQ,INNOVATOR ETFS TR,CMN,45783Y103,276,0,11492
G4602,G006,OKTA,OKTA INC,CMN,679295105,785,0,11500
G5438,G006,TRIN,TRINITY CAP INC,CMN,896442308,126,0,11547
G5629,G006,UONEK,URBAN ONE INC,CMN,91705J204,43,0,11563
G5831,G006,SNCE,SCIENCE 37 HOLDINGS INC,CMN,808644108,4,0,11568
G4633,G006,MOAT,VANECK ETF TRUST,CMN,92189F643,751,0,11584
G5421,G006,MPAA,MOTORCAR PTS AMER INC,CMN,620071100,137,0,11599
G5278,G006,NA-217,FIRST TR EXCHNG TRADED FD VI,CMN,33740F581,219,0,11626
G4853,G006,MO,ALTRIA GROUP INC,CMN,02209S103,534,0,11700
G4728,G006,FYC,FIRST TR EXCHANGE-TRADED ALP,CMN,33737M300,646,0,11701
G5946,G006,DAVEW,DAVE INC,WTS,23834J110,0,0,11707
G5754,G006,TCRR,TCR2 THERAPEUTICS INC,CMN,87808K106,11,0,11721
G5015,G006,JVAL,J P MORGAN EXCHANGE TRADED F,CMN,46641Q753,389,0,11748
G5413,G006,CZWI,CITIZENS CMNTY BANCORP INC M,CMN,174903104,141,0,11794
G5655,G006,AAIC,ARLINGTON ASSET INVST CORP,CMN,41356205,34,0,11809
G5683,G006,CVM,CEL-SCI CORP,CMN,150837607,27,0,11836
G5452,G006,DHHC,DIAMONDHEAD HOLDINGS CORP,CMN,25278L105,119,0,11843
G5083,G006,FAPR,FIRST TR EXCHNG TRADED FD VI,CMN,33740U885,347,0,11883
G5742,G006,AQMS,AQUA METALS INC,CMN,03837J101,14,0,11900
G5405,G006,ARKX,ARK ETF TR,CMN,00214Q807,147,0,11920
G5749,G006,INZY,INOZYME PHARMA INC,CMN,45790W108,12,0,11924
G5503,G006,ICVX,ICOSAVAX INC,CMN,45114M109,94,0,11949
G5004,G006,SII.TO,SPROTT INC,CMN,852066208,398,0,11951
G5607,G006,TLF,TANDY LEATHER FACTORY INC,CMN,87538X105,50,0,11971
G5735,G006,LOCL,LOCAL BOUNTI CORP,CMN,5.40E+110,16,0,11991
G4399,G006,DHI,D R HORTON INC,CMN,23331A109,1069,0,12000
G4932,G006,VSMV,VICTORY PORTFOLIOS II,CMN,92647N691,459,0,12053
G4095,G006,CRBN,ISHARES TR,CMN,46434V464,1665,0,12058
G5195,G006,IBTG,ISHARES TR,CMN,46436E858,274,0,12097
G5935,G006,HOFVW,HALL OF FAME RESORT & ENTMT,WTS,40619L110,0,0,12100
G5883,G006,BOXD,BOXED INC,CMN,103174108,2,0,12106
G5687,G006,TSHA,TAYSHA GENE THERAPIES INC,CMN,877619106,27,0,12127
G5781,G006,KERN,AKERNA CORP,CMN,00973W300,8,0,12162
G5200,G006,SPHY,SPDR SER TR,CMN,78468R606,272,0,12180
G5797,G006,EAR,EARGO INC,CMN,270087109,7,0,12259
G5730,G006,DY8A.F,DOUYU INTL HLDGS LTD,CMN,25985W105,17,0,12264
G5718,G006,LLAP,TERRAN ORBITAL CORPORATION,CMN,88105P103,19,0,12279
G5404,G006,LAZY,LAZYDAYS HLDGS INC,CMN,52110H100,147,0,12395
G5625,G006,SYRS,SYROS PHARMACEUTICALS INC,CMN,87184Q206,44,0,12408
G3506,G006,NWLI,NATIONAL WESTN LIFE GROUP IN,CMN,638517102,3491,0,12427
G5698,G006,NA-266,SHUTTLE PHARMACTCLS HLDGS IN,CMN,825693203,24,0,12429
G3626,G006,CMI,CUMMINS INC,CMN,231021106,3028,0,12500
G3545,G006,ISRG,INTUITIVE SURGICAL INC,CMN,46120E602,3316,0,12500
G5845,G006,ASPU,ASPEN GROUP INC,CMN,04530L203,3,0,12534
G4452,G006,GEF-B,GREIF INC,CMN,397624206,984,0,12582
G5768,G006,TMC,TMC THE METALS COMPANY INC,CMN,87261Y106,9,0,12600
G5891,G006,PLXP,PLX PHARMA INC,CMN,72942A107,2,0,12620
G4843,G006,ESQ,ESQUIRE FINL HLDGS INC,CMN,29667J101,546,0,12623
G4258,G006,PSX,PHILLIPS 66,CMN,718546104,1321,0,12700
G5196,G006,ALBO,ALBIREO PHARMA INC,CMN,01345P106,274,0,12706
G5652,G006,HBIO,HARVARD BIOSCIENCE INC,CMN,416906105,35,0,12754
G5565,G006,SKE.TO,SKEENA RES LTD NEW,CMN,83056P715,68,0,12827
G5142,G006,FTXD,FIRST TR EXCHANGE-TRADED FD,CMN,33738R829,308,0,12872
G5526,G006,SURG,SURGEPAYS INC,CMN,86882L204,84,0,12900
G5832,G006,SPPI,SPECTRUM PHARMACEUTICALS INC,CMN,84763A108,4,0,12931
G5864,G006,IRNT,IRONNET INC,CMN,46323Q105,2,0,12935
G4841,G006,BBWI,BATH & BODY WORKS INC,CMN,70830104,547,0,13000
G4880,G006,JPSE,J P MORGAN EXCHANGE TRADED F,CMN,46641Q845,503,0,13007
G5036,G006,EDOW,FIRST TR EXCHANGE TRADED FD,CMN,33733A201,376,0,13055
G5063,G006,UNOV,INNOVATOR ETFS TR,CMN,45782C565,361,0,13057
G5349,G006,COCO,VITA COCO CO INC,CMN,92846Q107,181,0,13115
